dat;abe;max;min;fec;vol
02/01/2009;8.38000;8.71000;8.34000;8.57000;3077
05/01/2009;8.57000;8.91000;8.38000;8.73000;4127
06/01/2009;8.84000;9.27000;8.67000;9.21000;4461
07/01/2009;9.08000;9.11000;8.82000;9.00000;2113
08/01/2009;8.87000;8.96000;8.61000;8.80000;4832
09/01/2009;9.14000;9.41000;8.85000;9.07000;8697
12/01/2009;8.94000;9.20000;8.89000;9.00000;5287
13/01/2009;8.85000;9.00000;8.64000;8.64000;6651
14/01/2009;8.68000;8.69000;8.02000;8.06000;5906
15/01/2009;8.10000;8.58000;7.91000;8.57000;6939
16/01/2009;8.72000;8.84000;8.22000;8.22000;4753
19/01/2009;8.39000;8.41000;8.20000;8.25000;2877
20/01/2009;8.22000;8.39000;7.67000;7.68000;6001
21/01/2009;7.85000;7.97000;7.60000;7.85000;5518
22/01/2009;8.00000;8.00000;7.52000;7.74000;6246
23/01/2009;7.59000;7.84000;7.41000;7.60000;5287
26/01/2009;7.71000;8.09000;7.68000;8.06000;5659
27/01/2009;8.00000;8.28000;7.94000;8.20000;3516
28/01/2009;8.45000;8.52000;8.34000;8.40000;4135
29/01/2009;8.22000;8.30000;8.05000;8.08000;3460
30/01/2009;8.06000;8.20000;8.02000;8.11000;3067
02/02/2009;7.94000;8.05000;7.85000;7.86000;3076
03/02/2009;7.94000;8.21000;7.89000;8.10000;3529
04/02/2009;8.14000;8.31000;7.94000;7.97000;4777
05/02/2009;7.97000;8.26000;7.94000;8.22000;3706
06/02/2009;8.29000;8.37000;8.16000;8.33000;7089
09/02/2009;8.20000;8.38000;8.14000;8.17000;4035
10/02/2009;8.24000;8.38000;8.00000;8.08000;4306
11/02/2009;8.16000;8.27000;8.04000;8.18000;3171
12/02/2009;8.02000;8.17000;7.91000;7.97000;3871
13/02/2009;8.20000;8.22000;8.10000;8.13000;3270
16/02/2009;8.05000;8.14000;8.02000;8.08000;1682
17/02/2009;7.91000;7.98000;7.80000;7.80000;3308
18/02/2009;7.80000;7.90000;7.69000;7.72000;4905
19/02/2009;8.12000;8.12000;7.86000;7.88000;4661
20/02/2009;7.75000;8.00000;7.66000;7.97000;3270
25/02/2009;7.93000;8.20000;7.78000;8.12000;2415
26/02/2009;8.24000;8.38000;8.13000;8.18000;4604
27/02/2009;8.01000;8.14000;7.96000;8.09000;2510
02/03/2009;7.90000;8.04000;7.60000;7.65000;5141
03/03/2009;7.75000;7.92000;7.59000;7.76000;4366
04/03/2009;8.00000;8.14000;7.90000;8.09000;3658
05/03/2009;7.89000;7.98000;7.72000;7.78000;3566
06/03/2009;7.80000;8.04000;7.72000;7.93000;3327
09/03/2009;7.77000;8.11000;7.74000;7.86000;2118
10/03/2009;7.97000;8.20000;7.95000;8.20000;3378
11/03/2009;8.27000;8.35000;8.16000;8.25000;2792
12/03/2009;8.21000;8.50000;8.18000;8.35000;4548
13/03/2009;8.48000;8.60000;8.36000;8.52000;2724
16/03/2009;8.59000;8.66000;8.37000;8.50000;3287
17/03/2009;8.44000;8.75000;8.41000;8.75000;3893
18/03/2009;8.64000;9.14000;8.64000;9.06000;4581
19/03/2009;9.20000;9.41000;9.15000;9.23000;6703
20/03/2009;9.18000;9.31000;8.97000;9.06000;4902
23/03/2009;9.36000;9.70000;9.25000;9.70000;6425
24/03/2009;9.60000;9.66000;9.36000;9.44000;3048
25/03/2009;9.40000;9.80000;9.38000;9.45000;5582
26/03/2009;9.57000;9.88000;9.47000;9.76000;4418
27/03/2009;9.57000;10.04000;9.57000;10.04000;3866
30/03/2009;9.75000;9.95000;9.69000;9.86000;3676
31/03/2009;9.99000;10.26000;9.92000;9.96000;4438
01/04/2009;9.86000;10.51000;9.86000;10.49000;5429
02/04/2009;10.63000;11.09000;10.63000;10.77000;8039
03/04/2009;10.77000;11.28000;10.77000;11.28000;6278
06/04/2009;11.22000;11.43000;10.87000;11.22000;4938
07/04/2009;11.06000;11.39000;10.90000;11.16000;4460
08/04/2009;10.81000;11.03000;10.15000;10.25000;17441
09/04/2009;10.48000;10.48000;9.75000;9.96000;17054
13/04/2009;9.97000;10.09000;9.76000;9.98000;6558
14/04/2009;10.04000;10.33000;10.00000;10.12000;8356
15/04/2009;10.16000;10.34000;10.11000;10.34000;4743
16/04/2009;10.50000;10.84000;10.40000;10.84000;6715
17/04/2009;10.84000;10.94000;10.78000;10.87000;4016
20/04/2009;10.57000;10.84000;10.52000;10.63000;3761
22/04/2009;10.63000;10.82000;10.51000;10.51000;8637
23/04/2009;10.64000;11.05000;10.60000;11.00000;5743
24/04/2009;11.02000;11.21000;10.99000;10.99000;4174
27/04/2009;10.91000;11.28000;10.66000;10.70000;4584
28/04/2009;10.70000;11.02000;10.69000;10.84000;4723
29/04/2009;11.02000;11.33000;11.02000;11.28000;5876
30/04/2009;11.46000;11.51000;10.90000;10.90000;4690
04/05/2009;11.28000;11.45000;11.22000;11.42000;5257
05/05/2009;11.34000;11.65000;11.34000;11.55000;3401
06/05/2009;11.67000;12.70000;11.67000;12.44000;6754
07/05/2009;12.55000;12.58000;11.81000;11.81000;4456
08/05/2009;12.34000;12.37000;11.90000;12.01000;3127
11/05/2009;11.87000;12.07000;11.67000;12.03000;2899
12/05/2009;12.11000;12.23000;11.72000;11.75000;4513
13/05/2009;11.52000;11.67000;11.35000;11.43000;3470
14/05/2009;11.41000;11.94000;11.10000;11.93000;4334
15/05/2009;11.94000;11.96000;11.71000;11.71000;1744
18/05/2009;11.87000;12.46000;11.87000;12.32000;3384
19/05/2009;12.40000;12.78000;12.19000;12.49000;4943
20/05/2009;12.52000;12.85000;12.16000;12.25000;4664
21/05/2009;11.93000;12.13000;11.88000;12.08000;3825
22/05/2009;12.25000;12.28000;11.84000;11.99000;4437
25/05/2009;12.06000;12.15000;11.96000;11.99000;1141
26/05/2009;12.00000;12.52000;11.90000;12.48000;3316
27/05/2009;12.54000;12.76000;12.32000;12.46000;3468
28/05/2009;12.59000;12.86000;12.52000;12.79000;2958
29/05/2009;12.85000;12.96000;12.56000;12.56000;2404
01/06/2009;12.82000;12.94000;12.67000;12.80000;4447
02/06/2009;12.75000;13.43000;12.59000;13.11000;6346
03/06/2009;13.05000;13.21000;12.69000;12.69000;5595
04/06/2009;12.89000;13.31000;12.49000;13.26000;3881
05/06/2009;13.42000;13.53000;12.76000;12.94000;4514
08/06/2009;12.84000;13.23000;12.80000;13.17000;1986
09/06/2009;13.17000;13.29000;12.92000;12.97000;2867
10/06/2009;13.14000;13.18000;12.89000;13.08000;3163
12/06/2009;13.11000;13.23000;12.92000;13.11000;3061
15/06/2009;13.01000;13.08000;12.47000;12.70000;5077
16/06/2009;12.85000;13.01000;12.46000;12.46000;2766
17/06/2009;12.34000;12.46000;12.10000;12.43000;4569
18/06/2009;12.46000;12.56000;12.16000;12.16000;2518
19/06/2009;12.28000;12.87000;12.28000;12.46000;2781
22/06/2009;12.37000;12.46000;12.08000;12.12000;2560
23/06/2009;12.15000;12.34000;12.07000;12.13000;3900
24/06/2009;12.31000;12.36000;11.97000;12.00000;3408
25/06/2009;11.98000;12.75000;11.98000;12.75000;4311
26/06/2009;12.75000;12.87000;12.56000;12.69000;2453
29/06/2009;12.85000;12.92000;12.67000;12.76000;2823
30/06/2009;12.81000;12.91000;12.58000;12.68000;3441
01/07/2009;12.75000;12.91000;12.73000;12.78000;4116
02/07/2009;12.60000;13.09000;12.60000;13.05000;6221
03/07/2009;13.00000;13.11000;12.97000;13.05000;1964
06/07/2009;12.86000;13.11000;12.76000;13.11000;2846
07/07/2009;13.00000;13.03000;12.81000;12.98000;2932
08/07/2009;12.79000;12.99000;12.31000;12.57000;5121
10/07/2009;12.61000;12.73000;12.19000;12.33000;3634
13/07/2009;12.40000;12.73000;12.12000;12.33000;4984
14/07/2009;12.47000;12.47000;12.04000;12.33000;3093
15/07/2009;12.54000;13.04000;12.53000;12.89000;6106
16/07/2009;12.81000;13.06000;12.71000;12.89000;3813
17/07/2009;12.88000;12.97000;12.81000;12.93000;2940
20/07/2009;12.99000;13.19000;12.91000;13.14000;3865
21/07/2009;13.23000;13.33000;13.09000;13.30000;3857
22/07/2009;13.11000;13.50000;13.11000;13.25000;3847
23/07/2009;13.35000;13.76000;13.26000;13.59000;5642
24/07/2009;13.53000;13.95000;13.52000;13.89000;4295
27/07/2009;13.89000;14.00000;13.63000;13.95000;3072
28/07/2009;13.74000;14.10000;13.68000;14.10000;3646
29/07/2009;13.86000;13.89000;13.60000;13.86000;4640
30/07/2009;14.05000;14.41000;14.04000;14.23000;3321
31/07/2009;14.18000;14.41000;14.05000;14.15000;3380
03/08/2009;14.24000;14.44000;14.23000;14.42000;2981
04/08/2009;14.30000;14.71000;14.28000;14.71000;4006
05/08/2009;14.71000;15.26000;14.63000;15.20000;5519
06/08/2009;15.15000;15.22000;14.59000;14.61000;4806
07/08/2009;14.77000;14.94000;14.67000;14.67000;6357
10/08/2009;14.70000;14.76000;14.57000;14.73000;3403
11/08/2009;14.61000;14.80000;14.46000;14.79000;4426
12/08/2009;14.72000;14.89000;14.61000;14.87000;4801
13/08/2009;15.26000;15.56000;15.02000;15.22000;8381
14/08/2009;15.35000;15.36000;14.90000;15.15000;5773
17/08/2009;14.85000;14.87000;14.65000;14.71000;4591
18/08/2009;14.63000;15.14000;14.63000;15.05000;3667
19/08/2009;14.82000;15.45000;14.78000;15.26000;4140
20/08/2009;15.23000;15.54000;15.17000;15.47000;3629
21/08/2009;15.55000;15.66000;15.33000;15.47000;4085
24/08/2009;15.46000;15.69000;15.38000;15.48000;2881
25/08/2009;15.55000;15.72000;15.50000;15.64000;4610
26/08/2009;15.64000;15.87000;15.58000;15.87000;3833
27/08/2009;15.87000;16.16000;15.50000;15.99000;3336
